pre_tax_amount,tax,post_tax_amount,amount_tendered,change_due,state
0.99,0.03,1.02,1.02,0,Georgia
6.01,0,6.01,6.01,0,South Carolina
80,5.6,85.6,85.75,0.15,North Carolina
69.6,0.09,69.69,100,30.31,South Carolina
2.68,0.19,2.87,5,2.13,South Carolina
27.35,0,27.35,30,2.65,Virginia
3.84,0.35,4.19,5,0.81,Alabama
4.89,0.34,5.23,6,0.77,South Carolina
7.05,0,7.05,7.05,0,Virginia
1.99,0.05,2.04,10,7.96,Virginia
11.99,0.14,12.13,20,7.87,North Carolina
50.34,3.31,53.65,60.65,7,Georgia
0.99,0.07,1.06,1.25,0.19,North Carolina
32.11,0,32.11,32.11,0,South Carolina
20,0,20,20,0,Pennsylvania
20.01,0,20.01,21,0.99,South Carolina
3.98,0.34,4.32,5,0.68,Tennessee
3.28,0.03,3.31,5,1.69,Virginia
3,0.25,3.25,4,0.75,Tennessee
4.98,0.15,5.13,5.13,0,Georgia
2,0,2,2,0,Georgia
7.74,0.14,7.88,10,2.12,Virginia
1.59,0.13,1.72,2,0.28,Tennessee
0.99,0,0.99,1,0.01,Pennsylvania
32.41,0,32.41,32.41,0,Tennessee
23.8,0,23.8,23.8,0,Virginia
19.99,0.09,20.08,100.1,80.02,Alabama
2.18,0.05,2.23,5,2.77,Pennsylvania
0.94,0.02,0.96,20,19.04,North Carolina
14.4,0,14.4,15,0.6,South Carolina
0.3,0.01,0.31,5,4.69,Virginia
5,0,5,5,0,Tennessee
31.5,0,31.5,31.5,0,Alabama
18.36,0.21,18.57,20,1.43,Virginia
20.05,0,20.05,20.05,0,Alabama
50,0,50,50,0,South Carolina
7.86,0.33,8.19,9,0.81,Virginia
5.29,0.37,5.66,6,0.34,North Carolina
22,0,22,22,0,Virginia
23.75,0,23.75,23.75,0,Georgia
9.01,0.03,9.04,9.04,0,Georgia
1.59,0.11,1.7,2,0.3,South Carolina
5.78,0.48,6.26,10.26,4,Tennessee
11.6,0,11.6,11.6,0,North Carolina
1,0.03,1.03,1.03,0,Georgia
23.21,0,23.21,23.21,0,Tennessee
0.99,0.07,1.06,5,3.94,South Carolina
6.27,0.44,6.71,7,0.29,North Carolina
0.59,0.05,0.64,0.64,0,Tennessee
1.09,0.1,1.19,1.25,0.06,Alabama
35,0,35,40,5,North Carolina
5,0,5,5,0,Virginia
49.01,0,49.01,49.01,0,South Carolina
6.96,0.49,7.45,20,12.55,South Carolina
0.99,0.02,1.01,1.01,0,Virginia
1.19,0.08,1.27,2,0.73,Georgia
2.85,0.2,3.05,3.05,0,North Carolina
42.01,0,42.01,42.01,0,South Carolina
4.72,0.33,5.05,6,0.95,North Carolina
2.04,0.05,2.09,10,7.91,Virginia
20.36,0,20.36,20.36,0,Alabama
23,0,23,23,0,Pennsylvania
1.09,0.07,1.16,2,0.84,Georgia
3.99,0.28,4.27,5.27,1,South Carolina
2.94,0.21,3.15,10.15,7,North Carolina
28.9,0.17,29.07,100,70.93,South Carolina
36.59,0.23,35.13,40,4.87,Pennsylvania
15,0,15,15,0,Virginia
0.99,0.07,1.06,1.06,0,South Carolina
5.77,0.52,6.29,20,13.71,Alabama
34.68,0.23,20,20,0,South Carolina
16,0,16,16,0,Virginia
2.09,0.15,2.24,2.3,0.06,North Carolina
5.29,0.09,5.38,6,0.62,North Carolina
16.13,0,16.13,16.13,0,Georgia
7.01,0,7.01,7.01,0,Alabama
29.95,0,29.95,29.95,0,South Carolina
3.04,0.15,3.19,20,16.81,Virginia
19.15,0,19.15,19.15,0,Virginia
1.09,0.08,1.17,2,0.83,Georgia
20,0,20,20,0,Georgia
41.67,0,41.67,41.67,0,North Carolina
29,0,29,29,0,Pennsylvania
0.89,0.03,0.92,1,0.08,Georgia
7.72,0.46,8.18,10,1.82,Pennsylvania
10,0,10,20,10,South Carolina
22.64,0.12,22.76,23,0.24,North Carolina
9,0,9,20,11,Tennessee
9.87,0.24,10.11,10.11,0,Georgia
10.01,0,10.01,10.01,0,North Carolina
30.85,0,30.85,30.85,0,Georgia
4,0,4,5,1,Georgia
20,0,20,20,0,North Carolina
46,0,46,46,0,North Carolina
10,0,10,20,10,Georgia
3.48,0,3.48,3.48,0,North Carolina
31.69,0.14,31.83,35,3.17,Tennessee
10,0,10,10,0,South Carolina
32.01,0,32.01,32.01,0,Virginia
5,0,5,5,0,South Carolina
19,0,19,19,0,Virginia
