pre_tax_amount,tax,post_tax_amount,amount_tendered,change_due,state
1.19,0.11,1.3,5,3.7,Alabama
10,0,10,10,0,Virginia
10,0,10,10,0,North Carolina
5.98,0.42,6.4,7,0.6,South Carolina
1,0,1,1,0,South Carolina
0.59,0.05,0.64,1,0.36,Tennessee
21.8,0.2,22,22,0,North Carolina
6.29,0.09,6.38,10,3.62,North Carolina
11.68,0,11.68,11.68,0,Pennsylvania
8.02,0.24,8.26,9,0.74,Georgia
3.44,0.17,3.61,5,1.39,Virginia
27.31,0,27.31,27.31,0,South Carolina
0.89,0.06,0.95,1,0.05,South Carolina
10.02,0,10.02,10.02,0,Virginia
20,0,20,20,0,Pennsylvania
23.01,0,23.01,23.01,0,Alabama
6.99,0.63,7.62,7.62,0,Alabama
9.23,0.2,9.43,10,0.57,Virginia
4.06,0.12,4.18,10,5.82,Georgia
7,0,7,10,3,Georgia
36.19,0.03,36.22,36.22,0,Virginia
17.5,0,17.5,17.5,0,Georgia
7.38,0.67,8.05,8.05,0,Tennessee
0.99,0.07,1.06,2,0.94,South Carolina
1.29,0.08,1.37,1.37,0,Pennsylvania
20,0,20,20,0,South Carolina
3.18,0.06,3.24,5.25,2.01,Georgia
11.59,0.05,11.64,20,8.36,Georgia
13.01,0,-6.99,0,6.99,Virginia
2.38,0.12,2.5,5,2.5,South Carolina
9.3,0.01,9.31,10,0.69,North Carolina
23.21,0,23.21,23.21,0,Georgia
50,0,50,50,0,South Carolina
47.25,0,47.25,100,52.75,South Carolina
1.39,0.08,1.47,5,3.53,Georgia
3.99,0.36,4.35,10,5.65,Alabama
0.99,0.07,1.06,1.06,0,North Carolina
2.58,0.13,2.71,3,0.29,Virginia
5.37,0.2,5.57,10,4.43,Georgia
2.85,0.2,3.05,5.1,2.05,North Carolina
30,0,30,30,0,Virginia
8.07,0.56,8.63,20,11.37,South Carolina
30.45,0,30.45,30.45,0,Georgia
28,0,28,30,2,South Carolina
2.99,0,2.99,3,0.01,Pennsylvania
0.79,0.06,0.85,1,0.15,North Carolina
5,0,5,5,0,Georgia
15,0,15,20,5,North Carolina
5,0,5,5,0,Georgia
31.95,0,31.95,31.95,0,South Carolina
1.48,0.1,1.58,1.58,0,South Carolina
6.46,0.45,6.91,20,13.09,North Carolina
1.29,0.08,1.37,5,3.63,Pennsylvania
39,0,39,39,0,Pennsylvania
6.28,0.57,6.85,6.85,0,Alabama
4.56,0.32,4.88,5,0.12,North Carolina
0.49,0.01,0.5,1,0.5,Virginia
11.39,0.03,11.42,12,0.58,Virginia
9.93,0.31,10.24,20,9.76,North Carolina
0.99,0,0.99,5,4.01,Pennsylvania
7.76,0.19,7.95,8,0.05,North Carolina
8.1,0,8.1,8.1,0,Georgia
1.29,0.02,1.31,1.31,0,North Carolina
15,0,15,20,5,Georgia
2.72,0.16,2.88,3,0.12,South Carolina
10,0,10,10,0,Georgia
3.93,0.2,4.13,20,15.87,South Carolina
11.88,0.29,12.17,20,7.83,Virginia
4.54,0.32,4.86,5,0.14,North Carolina
37.53,0.25,37.78,37.78,0,Pennsylvania
3.24,0.23,3.47,5,1.53,Georgia
20,0,20,20,0,North Carolina
23.59,0.05,23.64,23.64,0,Virginia
2.68,0.08,2.76,2.76,0,Georgia
20.03,0,20.03,21,0.97,Georgia
0.59,0.05,0.64,0.64,0,Tennessee
32.23,0.12,32.35,33,0.65,North Carolina
20,0,20,20,0,South Carolina
3.18,0,3.18,3.25,0.07,Pennsylvania
4.78,0.33,5.11,6,0.89,South Carolina
10.14,0.51,10.65,11,0.35,South Carolina
4.68,0.23,4.91,4.91,0,Virginia
2.58,0.18,2.76,10,7.24,South Carolina
12.45,1.12,13.57,20,6.43,Alabama
21.49,1.5,22.99,25,2.01,North Carolina
2.28,0.08,2.36,10,7.64,Pennsylvania
36.01,0,36.01,36.01,0,South Carolina
2.78,0.19,2.97,20,17.03,North Carolina
20,0,20,20,0,South Carolina
15,0,15,15,0,Virginia
28,0,28,28,0,Virginia
3.19,0.19,3.38,3.38,0,Georgia
20,0,20,20,0,South Carolina
16.7,0,16.91,16.91,0,Virginia
5,0,5,5,0,Virginia
12.85,0.2,13.05,15.05,2,North Carolina
20,0,20,20,0,North Carolina
14,0,14,14,0,South Carolina
2.99,0.06,3.05,20,16.95,Georgia
1.69,0.05,1.74,2,0.26,Georgia
10.1,0.71,10.81,10.81,0,North Carolina
2.18,0.15,2.33,2.33,0,Georgia
43.09,0.14,43.23,100,56.77,Alabama
1.49,0.07,1.56,2,0.44,South Carolina
1.69,0,1.69,2,0.31,Virginia
26.75,0,26.75,26.75,0,Pennsylvania
15,0,15,20,5,Georgia
1.59,0.05,1.64,2,0.36,Georgia
180.98,0,180.98,200,19.02,Virginia
14.97,0.93,15.9,20,4.1,Georgia
10.2,0,10.2,10.25,0.05,Tennessee
2.58,0.08,2.66,3,0.34,Georgia
1.28,0.04,1.32,1.35,0.03,Georgia
11.49,0.07,11.56,20,8.44,South Carolina
9.99,0,10,10,0,North Carolina
1.88,0.11,1.99,2,0.01,Pennsylvania
1.75,0.12,1.87,2,0.13,North Carolina
2.49,0.22,2.71,3,0.29,Alabama
3,0.15,3.15,5,1.85,South Carolina
7.96,0.32,6.28,6.28,0,Virginia
8.96,0,8.96,8.96,0,Virginia
1.98,0.14,2.12,2.25,0.13,North Carolina
11.29,0.64,11.93,20,8.07,Georgia
5,0,5,5,0,North Carolina
1.19,0,1.19,1.19,0,Pennsylvania
7.28,0.36,7.64,20,12.36,Virginia
27.95,0,27.95,27.95,0,South Carolina
2.79,0.06,2.85,5,2.15,Georgia
16,0,16,20,4,Georgia
10,0,10,10,0,North Carolina
8,0,8,8,0,Virginia
1.98,0.09,2.07,5,2.93,North Carolina
7.06,0.49,7.55,20,12.45,South Carolina
30,0,30,30,0,Virginia
1.19,0.03,1.22,2,0.78,Virginia
6.87,0.48,7.35,10,2.65,South Carolina
24.64,0,24.64,24.64,0,Virginia
8.56,0.6,9.16,10,0.84,North Carolina
22,0,22,22,0,South Carolina
10,0,10,10,0,South Carolina
2.58,0.1,2.68,5.7,3.02,North Carolina
25.01,0,25.01,25.01,0,Alabama
6.99,0.35,7.34,20,12.66,South Carolina
2.68,0.19,2.87,2.87,0,South Carolina
0.69,0.03,0.72,1,0.28,South Carolina
10,0,10,20,10,Virginia
7.87,0.35,8.22,20,11.78,Virginia
35,0,35,35,0,Pennsylvania
8.35,0.75,9.1,10,0.9,Alabama
10.54,0,10.54,20,9.46,North Carolina
49.79,1.49,5,5,0,Virginia
6.69,0.13,6.82,10,3.18,Georgia
55,0,55,55,0,Pennsylvania
1,0,1,1,0,Georgia
10.03,0,10.03,10.03,0,South Carolina
40,0,40,40,0,South Carolina
0.59,0.04,0.63,1,0.37,Georgia
3.29,0.12,3.41,300,296.59,Tennessee
9.47,0.47,9.94,9.94,0,Virginia
25.01,0,25.01,25.01,0,Virginia
28.06,0.07,28.13,30,1.87,South Carolina
5.38,0.38,5.76,6,0.24,North Carolina
0.99,0.05,1.04,1.04,0,South Carolina
0.99,0.05,1.04,2,0.96,South Carolina
18,0,18,18,0,Georgia
1.19,0.08,1.27,2,0.73,Georgia
5,0,5,5,0,South Carolina
3.99,0.36,4.35,5,0.65,Alabama
4.87,0.26,5.13,10,4.87,South Carolina
1.39,0.1,1.49,2,0.51,Georgia
1.99,0.04,2.03,3,0.97,Georgia
1.68,0.14,1.82,5,3.18,Tennessee
11.08,0,11.08,11.08,0,Georgia
2,0,2,99,97,Georgia
33.03,0,33.03,33.03,0,Georgia
149.99,13.5,163.49,200,36.51,Alabama
1.19,0.08,1.27,1.27,0,South Carolina
1.99,0.06,2.05,5,2.95,Georgia
15,0,15,15,0,Virginia
42,0,42,42,0,Alabama
18.39,0,18.39,18.39,0,Georgia
36.05,0,36.05,36.05,0,North Carolina
25,0,25,25,0,Virginia
17.08,0,17.08,17.08,0,Alabama
14.12,0,14.12,14.12,0,Virginia
40,0,40,40,0,North Carolina
10,0,10,20,10,Georgia
5.85,0.23,6.08,10,3.92,Georgia
27.75,0,27.75,27.75,0,Pennsylvania
43.03,0,43.03,43.03,0,Georgia
50,0,50,50,0,North Carolina
0.99,0.07,1.06,2,0.94,South Carolina
20.01,0,20.01,20.01,0,South Carolina
18.25,0,18.25,40,21.75,South Carolina
0.99,0.07,1.06,2,0.94,South Carolina
0.25,0.02,0.27,1,0.73,Georgia
39.48,1.47,40.95,50,9.05,South Carolina
28.87,0,28.87,28.87,0,Pennsylvania
20.02,0,20.02,20.02,0,Georgia
1.38,0.03,1.41,1.41,0,North Carolina
18.45,0.89,19.34,20,0.66,Pennsylvania
0.99,0.09,1.08,20,18.92,Virginia
2.13,0,2.13,2.13,0,North Carolina
1.59,0.08,1.67,2,0.33,South Carolina
31.62,0,31.62,31.62,0,Georgia
30,0,30,100,70,Virginia
0.99,0.09,1.08,5,3.92,Virginia
22.45,0,22.45,23,0.55,North Carolina
2.38,0.21,2.59,10,7.41,Alabama
0.99,0.06,1.05,1.05,0,Pennsylvania
6.99,0.49,7.48,10,2.52,North Carolina
10,0,10,10,0,South Carolina
0.99,0.07,1.06,20,18.94,North Carolina
33.46,0,33.46,33.46,0,North Carolina
44,0,44,50,6,South Carolina
26,0,26,50,24,South Carolina
4.15,0.12,4.27,4.27,0,Georgia
2,0,2,2,0,South Carolina
2.58,0.13,2.71,2.75,0.04,Virginia
31.52,0,31.52,31.52,0,Alabama
2,0,2,2,0,Virginia
19.99,1.2,21.19,30,8.81,Pennsylvania
32.95,0,32.95,32.95,0,South Carolina
48.4,0,48.4,60,11.6,South Carolina
43.36,0,43.36,43.36,0,South Carolina
20,0,20,20,0,Virginia
25,0,25,25,0,Virginia
52.96,0,52.96,52.96,0,Pennsylvania
2.89,0.2,3.09,20,16.91,North Carolina
2.38,0.12,2.5,3,0.5,Georgia
15.88,1.11,16.99,20,3.01,South Carolina
11.05,0.55,11.6,12,0.4,South Carolina
13.26,0.4,13.66,20,6.34,Georgia
0.99,0.07,1.06,2,0.94,Georgia
25.01,0,25.01,25.01,0,Georgia
5.47,0.18,5.65,10,4.35,Pennsylvania
1.58,0.04,1.62,2,0.38,Virginia
5.86,0.21,6.07,6.07,0,Pennsylvania
0.99,0.03,1.02,1.02,0,Georgia
1.15,0.06,1.21,2,0.79,South Carolina
25.4,0,25.4,25.4,0,South Carolina
1.29,0.06,1.35,2,0.65,Virginia
13.44,0.94,14.38,20,5.62,North Carolina
1.19,0.09,1.28,1.28,0,South Carolina
18.04,0,18.04,18.04,0,Georgia
7.96,0.56,8.52,20,11.48,North Carolina
1.29,0.12,1.41,2,0.59,Alabama
8.46,0.56,-20,0,20,Georgia
54,0,54,100,46,Pennsylvania
5.88,0.41,6.29,6.29,0,North Carolina
27.5,0,27.5,40,12.5,Pennsylvania
5,0,5,20,15,Georgia
1.19,0.11,1.3,1.3,0,Alabama
29.58,0.11,29.69,30,0.31,Virginia
10,0,10,10,0,Virginia
2.19,0.05,2.24,3,0.76,Virginia
36.52,0,36.52,36.52,0,Georgia
2,0,2,100,98,Georgia
1.19,0.08,1.27,1.27,0,South Carolina
4.88,0.12,5,5,0,Virginia
8.66,0.44,9.1,10,0.9,Pennsylvania
6.38,0.32,6.7,6.7,0,Virginia
7.88,0.31,8.19,10,1.81,South Carolina
10.61,0,35,35,0,Pennsylvania
1.98,0.18,2.16,2.2,0.04,Virginia
18.5,0,18.5,18.5,0,Pennsylvania
1.09,0.08,1.17,1.17,0,Georgia
21.17,0,21.17,21.17,0,Virginia
2.58,0.18,2.76,5,2.24,North Carolina
6.19,0.03,6.22,20,13.78,Virginia
1.99,0.05,2.04,2.04,0,Virginia
29.1,0,29.1,29.1,0,South Carolina
2,0,2,20,18,South Carolina
10,0,10,20,10,Virginia
2.58,0.18,2.76,10.01,7.25,North Carolina
10,0,10,20,10,Georgia
2.18,0.08,2.26,3,0.74,Georgia
0.98,0.05,1.03,2,0.97,Virginia
30,0.41,30.41,30.41,0,Tennessee
20,0,20,20,0,Virginia
30.52,0,30.52,30.52,0,Georgia
11.64,0.81,12.45,20,7.55,South Carolina
13.27,0.88,14.15,15,0.85,North Carolina
5,0,5,5,0,Georgia
10,0,10,10,0,North Carolina
0.99,0.03,1.02,1.02,0,Georgia
51.19,0.05,51.24,100,48.76,Virginia
13.04,0.65,13.69,20,6.31,South Carolina
9.79,0.06,9.85,10,0.15,South Carolina
62.75,0.08,62.83,62.83,0,Georgia
1.19,0.06,1.25,2,0.75,South Carolina
2.28,0.07,2.35,5,2.65,Georgia
1.19,0.08,1.27,1.27,0,North Carolina
3.39,0.17,3.56,5,1.44,Virginia
1.68,0.12,1.8,5,3.2,South Carolina
18.99,0.07,19.06,20,0.94,South Carolina
3.88,0.27,4.15,4.15,0,North Carolina
11.7,0.03,11.73,20,8.27,North Carolina
4.56,0.27,4.83,20,15.17,North Carolina
2.58,0.18,2.76,2.76,0,North Carolina
1.09,0.07,1.16,2,0.84,Georgia
2.48,0.17,2.65,2.65,0,North Carolina
1.38,0.07,1.45,5,3.55,South Carolina
1.19,0.08,1.27,2,0.73,South Carolina
0.99,0.02,1.01,1.01,0,North Carolina
16.25,0,16.25,16.25,0,Alabama
0.99,0.06,1.05,2,0.95,Pennsylvania
3.87,0.22,4.09,20,15.91,North Carolina
2.89,0.2,3.09,4,0.91,North Carolina
143.69,0,143.69,145,1.31,Virginia
21.13,0,21.13,21.13,0,Virginia
15,0,15,15,0,Virginia
15.5,0,15.5,15.5,0,South Carolina
5,0,5,5,0,North Carolina
1.98,0.14,2.12,2.12,0,North Carolina
4,0,4,4,0,South Carolina
5.68,0.24,5.92,6,0.08,Virginia
48.45,0,48.45,48.45,0,Alabama
26.27,0,26.27,26.27,0,Alabama
28.01,0,28.01,28.01,0,Virginia
5.58,0.39,5,5,0,South Carolina
6.27,0.37,6.64,6.64,0,Georgia
1.19,0.03,1.22,5.25,4.03,Virginia
32.2,0,32.2,32.2,0,Virginia
10.67,0.53,11.2,15,3.8,South Carolina
2.28,0.14,2.42,5,2.58,Pennsylvania
1.49,0.03,1.52,2,0.48,North Carolina
20,0,20,20,0,South Carolina
29,0,29,29,0,Alabama
1.29,0.09,1.38,5,3.62,South Carolina
3.94,0.26,4.2,4.2,0,North Carolina
12.99,0.91,13.9,100,86.1,South Carolina
0.99,0.07,1.06,20.1,19.04,Georgia
1.29,0.08,1.37,2,0.63,Georgia
0.25,0.01,0.26,1,0.74,Virginia
4.28,0.08,4.36,5.36,1,Pennsylvania
3.18,0.1,3.28,10,6.72,Georgia
10.96,0.58,11.54,20,8.46,Tennessee
6.12,0.37,6.49,6.49,0,Georgia
2,0,2,2,0,South Carolina
4.62,0.22,4.84,5.85,1.01,North Carolina
10,0,10,10,0,North Carolina
20,0,20,20,0,Georgia
1.25,0,1.25,5,3.75,North Carolina
25,0,25,25,0,Virginia
25,0,25,25,0,Virginia
11.99,0.84,12.83,20,7.17,Georgia
32.51,0,32.51,32.51,0,Virginia
3.39,0.17,3.56,3.56,0,Virginia
8.85,0.62,9.47,10,0.53,North Carolina
24.99,1.75,1.5,1.5,0,North Carolina
1.59,0.05,0.89,1,0.11,Georgia
1.33,0.03,1.36,5,3.64,Virginia
32.55,0,32.55,32.55,0,North Carolina
25.53,1.36,26.89,27,0.11,Georgia
9.99,0.5,10.49,10.5,0.01,Virginia
1.54,0.11,1.65,20,18.35,South Carolina
26.01,0,26.01,26.01,0,Georgia
45.28,0.53,45.81,50,4.19,Alabama
36.03,0,36.03,36.03,0,Pennsylvania
4.49,0.4,4.89,10,5.11,Tennessee
7.87,0.08,7.95,10,2.05,Georgia
15.01,0,15.01,15.01,0,South Carolina
27.47,0.31,27.78,40,12.22,Virginia
1.09,0.02,1.11,2,0.89,Georgia
1.29,0.09,1.38,2,0.62,Georgia
30.23,0,30.23,30.23,0,Georgia
7.27,0.36,7.63,10,2.37,Georgia
11.19,0.02,11.21,12,0.79,Georgia
2.38,0.05,2.43,2.5,0.07,North Carolina
1.98,0.09,2.07,3,0.93,North Carolina
31.29,0.04,31.33,32,0.67,Georgia
15.81,1.11,16.92,20,3.08,North Carolina
0.79,0.07,0.86,1,0.14,Virginia
2.68,0.08,2.76,3,0.24,Georgia
1.09,0.08,1.17,1.17,0,Georgia
2.68,0.13,2.81,3,0.19,South Carolina
3.86,0.27,4.13,4.13,0,South Carolina
1.49,0.1,1.59,2,0.41,South Carolina
0.99,0.07,1.06,1.06,0,North Carolina
2.28,0.09,2.37,3,0.63,North Carolina
0.99,0.09,1.08,2,0.92,Alabama
15.01,0,15.01,15.01,0,Georgia
2.49,0.15,2.64,2.64,0,Pennsylvania
1.98,0.05,2.03,2.03,0,Virginia
40,0,40,40,0,Georgia
0.89,0.06,0.95,1,0.05,South Carolina
5,0,5,5,0,Tennessee
29.68,0,29.68,29.68,0,Tennessee
4.58,0.09,4.67,20,15.33,Georgia
22.08,0.19,22.27,23,0.73,Tennessee
13,0,13,13,0,North Carolina
0.79,0.02,0.81,5.01,4.2,North Carolina
23,0,23,40,17,Alabama
15,0,6,6,0,South Carolina
20.35,0,20.35,20.35,0,South Carolina
8.99,0.45,9.44,10,0.56,Virginia
41,0,41,41,0,Georgia
34.1,0,34.1,34.1,0,Tennessee
20,0,20,20,0,Virginia
35.87,0.04,35.91,40.95,5.04,Virginia
20.02,0,20.02,21,0.98,South Carolina
10.01,0,10.01,10.01,0,Alabama
37,0,37,37,0,South Carolina
25,0,25,25,0,South Carolina
9.7,0,9.7,9.7,0,North Carolina
4.07,0.28,4.35,5,0.65,North Carolina
5.49,0.38,5.87,20,14.13,North Carolina
10,0,10,20,10,South Carolina
1.69,0.15,1.84,2,0.16,Alabama
5,0.25,5.25,6,0.75,South Carolina
5.01,0,5.01,6,0.99,South Carolina
20,0,20,20,0,Virginia
5.48,0.38,5.86,10,4.14,Georgia
26.47,0.45,26.92,27,0.08,North Carolina
4,0,4,4,0,Georgia
1.19,0.06,1.25,2,0.75,Virginia
1.33,0.03,1.36,2,0.64,Virginia
7.57,0.45,8.02,9,0.98,Georgia
21.39,0.11,21.5,21.5,0,Tennessee
10.99,0.09,11.08,12,0.92,Virginia
5,0,5,5,0,Virginia
1.19,0.08,1.27,1.27,0,South Carolina
2.28,0.08,2.36,5,2.64,Pennsylvania
3.08,0.27,3.35,4,0.65,Tennessee
0.99,0.08,1.07,1.07,0,Tennessee
10.89,0.73,11.62,20,8.38,Georgia
13.58,1.22,14.8,20,5.2,Alabama
1.98,0.1,2.08,3,0.92,South Carolina
30,0,30,100,70,Pennsylvania
26.01,0,26.01,26.01,0,South Carolina
37.96,2.66,40.62,40.62,0,South Carolina
2.94,0.21,3.15,3.25,0.1,North Carolina
38.37,0.24,38.61,39,0.39,North Carolina
12.97,1.17,14.14,20.14,6,Alabama
34.88,0,34.88,34.88,0,Tennessee
5,0,5,5,0,South Carolina
7.94,0.21,8.15,20,11.85,North Carolina
50,0,50,50,0,South Carolina
2.98,0.21,3.19,5,1.81,South Carolina
6.24,0.44,6.68,6.68,0,South Carolina
4.18,0.18,4.36,5,0.64,Virginia
34.76,0,34.76,34.76,0,South Carolina
1.19,0.08,1.27,1.27,0,South Carolina
3.98,0.28,3.26,9.01,5.75,North Carolina
11.47,0.8,12.27,12.27,0,Georgia
10,0,10,10,0,North Carolina
1.99,0.04,2.03,10,7.97,Georgia
34.4,0,34.4,34.4,0,South Carolina
55.87,3.91,59.78,59.78,0,South Carolina
1.78,0.04,1.82,2,0.18,Georgia
1.38,0,1.38,1.45,0.07,Pennsylvania
27.37,0,27.37,27.37,0,South Carolina
5,0,5,10,5,Virginia
10,0,10,10,0,Virginia
10.03,0,10.03,11,0.97,South Carolina
5,0,5,5,0,Virginia
6.38,0.29,6.67,10,3.33,Virginia
45.1,0,45.1,45.1,0,Georgia
35.86,0,35.86,35.86,0,Virginia
24.63,0,24.63,24.63,0,Virginia
5.83,0.35,6.18,10.18,4,Pennsylvania
3.19,0.22,3.41,5,1.59,North Carolina
2.18,0.13,2.31,5.31,3,Georgia
10,0,10,20,10,Tennessee
23.1,0,23.1,23.1,0,Georgia
7.84,0.55,8.39,8.4,0.01,North Carolina
65,0,65,65,0,North Carolina
0.99,0.09,1.08,2,0.92,Tennessee
0.59,0.04,0.63,1,0.37,Pennsylvania
3.01,0,3.01,3.01,0,South Carolina
10,0,10,10,0,Tennessee
25,0,25,50,25,Georgia
0.99,0.07,1.06,1.06,0,South Carolina
31.01,0,31.01,31.01,0,Tennessee
5.79,0.02,5.81,10,4.19,North Carolina
26.7,0.09,26.79,30,3.21,South Carolina
5.66,0.24,5.9,10,4.1,Pennsylvania
6.22,0.31,6.53,6.53,0,South Carolina
28.99,2.03,31.02,31.02,0,South Carolina
17.08,0.19,17.27,20,2.73,Virginia
8.87,0.29,9.16,20.16,11,Virginia
23.3,0,23.3,23.3,0,North Carolina
20,0,20,20,0,Alabama
0.25,0.01,0.26,1,0.74,South Carolina
4.57,0.18,4.75,20,15.25,South Carolina
13,0,20,20,0,Georgia
1.88,0.17,2.05,20,17.95,Alabama
2.67,0.22,2.89,5,2.11,Tennessee
17.81,0,17.81,17.81,0,Virginia
36,0,36,36,0,South Carolina
3,0,3,5,2,Georgia
15.03,0,15.03,15.03,0,South Carolina
37.01,0,37.01,37.01,0,South Carolina
16,0,16,20,4,Alabama
2.48,0.09,2.57,3,0.43,Virginia
3,0,3,3,0,South Carolina
42.82,0,42.82,42.82,0,Georgia
1.59,0.08,1.67,2,0.33,South Carolina
59,0,59,59,0,North Carolina
3.83,0,3.83,3.83,0,Virginia
1.19,0.08,1.27,2,0.73,South Carolina
10,0,10,20,10,Georgia
8.38,0.1,8.48,10,1.52,Georgia
5.48,0.27,5.75,20,14.25,Virginia
3.19,0.16,3.35,3.35,0,South Carolina
1,0.03,1.03,1.03,0,Virginia
15.56,0.3,15.86,15.86,0,South Carolina
7.92,0.4,8.32,10,1.68,South Carolina
43.22,0,43.22,43.22,0,South Carolina
28,0,28,30,2,Tennessee
2.29,0.16,2.45,3,0.55,South Carolina
8,0,8,8,0,Pennsylvania
1.19,0.06,1.25,10,8.75,South Carolina
24.25,0,-5.75,0,5.75,Georgia
4,0,4,4,0,South Carolina
23.99,1.68,25.67,25.67,0,North Carolina
0.99,0.07,1.06,1.06,0,North Carolina
7.17,0.33,7.5,20,12.5,Virginia
2,0,2,10,8,Virginia
27.04,0,27.04,27.04,0,South Carolina
18.68,0.26,18.94,29.11,10.17,North Carolina
20,0,20,20,0,South Carolina
0.99,0,0.99,1,0.01,Pennsylvania
4.73,0.24,4.97,20,15.03,South Carolina
20,0,20,20,0,Tennessee
18.84,0.07,18.91,100,81.09,Pennsylvania
34,0,34,34,0,North Carolina
49.01,0,49.01,49.01,0,Tennessee
0.25,0.02,0.27,0.27,0,North Carolina
10.01,0,10.01,11,0.99,Tennessee
15.01,0,15.01,20.01,5,South Carolina
20,0,20,20,0,South Carolina
31.08,0,31.08,31.08,0,Georgia
1.29,0.03,1.32,2,0.68,Georgia
7.56,0.53,8.09,20,11.91,North Carolina
27.16,0.37,27.53,30,2.47,North Carolina
15,0,15,15,0,North Carolina
2.69,0.19,2.88,5,2.12,North Carolina
5,0.1,5.1,5.1,0,Georgia
43,0,43,43,0,South Carolina
3.37,0,3.37,5,1.63,Pennsylvania
20,0,20,20,0,Alabama
48.45,0,48.45,48.45,0,Alabama
7.45,0.18,7.63,10,2.37,Pennsylvania
30.81,0,30.81,30.81,0,Georgia
34.43,3.15,37.58,40,2.42,Tennessee
3.41,0.31,3.72,4,0.28,Alabama
1.8,0,1.8,2,0.2,South Carolina
35.5,0,35.5,35.5,0,Georgia
26.01,0,26.01,26.01,0,South Carolina
24.58,2.27,26.85,40,13.15,Tennessee
6.49,0,6.49,100,93.51,Alabama
3.49,0.24,3.73,4,0.27,South Carolina
1.29,0.06,1.35,2,0.65,Virginia
4.18,0.38,4.56,20,15.44,Alabama
21.7,0.09,1.79,20,18.21,South Carolina
10.11,0,10.11,10.11,0,North Carolina
11.86,0.52,12.38,15,2.62,Virginia
50,0,50,50,0,South Carolina
8.49,0.59,9.08,10,0.92,North Carolina
25,0,25,25,0,South Carolina
6,0,6,6,0,North Carolina
6.9,0,6.9,7,0.1,Tennessee
19.49,1.8,21.29,21.29,0,Tennessee
20.52,0,20.52,30,9.48,South Carolina
3.49,0.1,3.59,20,16.41,Georgia
38,0,38,38,0,Alabama
0.7,0.03,0.73,1,0.27,South Carolina
14.09,0.29,14.38,14.38,0,North Carolina
1.15,0.06,1.21,10,8.79,South Carolina
2.78,0.19,2.97,5,2.03,South Carolina
0.69,0.06,0.75,1,0.25,Alabama
4.54,0.27,4.81,4.81,0,Pennsylvania
20.64,0,20.64,20.64,0,Georgia
12.97,0.21,13.18,13.18,0,North Carolina
32.1,0,32.1,32.1,0,Pennsylvania
3,0,3,5,2,Georgia
29,0,29,29,0,Alabama
2,0,2,2,0,Georgia
0.89,0,0.89,1,0.11,Pennsylvania
22,0,22,50,28,South Carolina
13.71,0,13.71,13.71,0,Tennessee
1.09,0.08,1.17,1.27,0.1,South Carolina
0.89,0.08,0.97,1,0.03,Tennessee
27.16,0,27.16,27.16,0,Alabama
5.79,0.06,5.85,6,0.15,South Carolina
17.47,0.95,18.42,20.02,1.6,Georgia
0.99,0.07,1.06,1.1,0.04,North Carolina
5,0,5,5,0,Virginia
3.38,0.15,3.53,4,0.47,Georgia
30,0,30,30,0,Georgia
38,0,38,38,0,Virginia
4.99,0.35,5.34,6,0.66,North Carolina
0.69,0.06,0.75,1,0.25,Alabama
50,0,50,50,0,North Carolina
17.24,1.21,1,1,0,North Carolina
20.59,0,20.59,20.59,0,Pennsylvania
5.53,0.39,5.92,5.92,0,North Carolina
0.99,0.07,1.06,2,0.94,South Carolina
3.68,0.19,3.87,4,0.13,Georgia
32.01,0,32.01,32.01,0,Tennessee
8.45,0,8.45,20,11.55,Virginia
20.72,0,20.72,20.72,0,South Carolina
8.6,0.36,8.96,10,1.04,Georgia
5,0,5,5,0,Georgia
24,0,24,24,0,Georgia
4.16,0.38,4.54,5,0.46,Tennessee
40.47,2.17,22,22,0,Georgia
3.39,0,3.39,10,6.61,Virginia
15,0,15,15,0,Georgia
1.99,0.12,2.11,5,2.89,Pennsylvania
1.69,0.03,1.72,10,8.28,Georgia
15.5,0,15.5,15.5,0,Pennsylvania
2.28,0.08,2.36,2.36,0,Pennsylvania
25.01,0,25.01,25.01,0,South Carolina
4.27,0.3,4.57,10,5.43,South Carolina
2.94,0.18,3.12,20,16.88,Georgia
25.02,0,25.02,25.02,0,South Carolina
8.98,0,8.98,8.98,0,South Carolina
2.37,0.07,2.44,5,2.56,Pennsylvania
3,0,3,3,0,North Carolina
41.75,0,41.75,42,0.25,Alabama
0,0,-5,0,5,Alabama
1.99,0.14,2.13,3,0.87,North Carolina
20.01,0,20.01,20.01,0,Pennsylvania
1.29,0.12,1.41,2,0.59,Alabama
10.01,0,10.01,50.01,40,North Carolina
3.09,0.15,3.24,3.25,0.01,Virginia
30,0,30,30,0,Georgia
1.09,0.08,1.17,1.17,0,Georgia
27.62,0,27.62,27.62,0,Virginia
20.03,0,20.03,21,0.97,Tennessee
20.7,0,20.7,20.7,0,South Carolina
10,0,10,100,90,South Carolina
1.29,0.11,1.4,1.4,0,Tennessee
2,0,2,2,0,Georgia
38.78,0.12,38.9,40,1.1,South Carolina
0,0,-8,0,8,Virginia
2,0,2,2,0,Tennessee
8.58,0.51,9.09,20,10.91,Pennsylvania
2,0,2,2,0,Georgia
2,0,2,20,18,Virginia
19,0,19,19,0,Virginia
3.04,0.17,3.21,3.21,0,South Carolina
3.49,0.1,3.59,10,6.41,Georgia
12.63,0,12.63,12.63,0,North Carolina
5.99,0.36,6.35,7,0.65,Georgia
